ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1173.00,977.00,54.30,9359.30,32254.92,41614.22,407.99,34.78
952.00,990.00,50.50,5168.64,18430.73,23599.37,307.24,32.27
870.00,1005.00,50.40,3934.81,11178.37,15113.17,245.87,28.26
605.00,1068.00,48.00,1436.11,1365.82,2801.93,105.87,17.50
397.00,1111.00,46.70,597.27,469.51,1066.78,65.32,16.45
276.00,1166.00,44.60,288.68,322.64,611.31,49.45,17.92
273.00,1179.00,41.50,282.43,798.09,1080.53,65.74,24.08
191.00,1183.00,46.20,138.25,188.10,326.35,36.13,18.92
121.00,1242.00,42.40,55.48,279.13,334.62,36.59,30.24
